OData Type,Count
#Chassis.v1_15_0.Chassis,1
#ChassisCollection.ChassisCollection,1
#CompositionService.v1_1_2.CompositionService,1
#ComputerSystem.v1_14_0.ComputerSystem,1
#ComputerSystemCollection.ComputerSystemCollection,1
#Drive.v1_12_0.Drive,24
#Endpoint.v1_5_1.Endpoint,24
#EndpointCollection.EndpointCollection,1
#EndpointGroup.v1_3_1.EndpointGroup,12
#EndpointGroupCollection.EndpointGroupCollection,1
#EthernetInterface.v1_6_3.EthernetInterface,2
#EthernetInterfaceCollection.EthernetInterfaceCollection,2
#EventDestinationCollection.EventDestinationCollection,1
#EventService.v1_7_1.EventService,1
#Fabric.v1_2_1.Fabric,1
#FabricCollection.FabricCollection,1
#LogService.v1_2_0.LogService,2
#LogServiceCollection.LogServiceCollection,1
#Manager.v1_11_0.Manager,2
#ManagerCollection.ManagerCollection,1
#ResourceBlock.v1_3_4.ResourceBlock,14
#ResourceBlockCollection.ResourceBlockCollection,1
#ServiceRoot.v1_9_0.ServiceRoot,1
#Session.v1_3_0.Session,3
#SessionCollection.SessionCollection,1
#SessionService.v1_1_8.SessionService,1
#SoftwareInventory.v1_4_0.SoftwareInventory,2
#SoftwareInventoryCollection.SoftwareInventoryCollection,1
#Storage.v1_10_0.Storage,3
#StorageCollection.StorageCollection,1
#StorageGroup.v1_5_0.StorageGroup,1
#StorageGroupCollection.StorageGroupCollection,1
#StoragePool.v1_5_0.StoragePool,2
#StoragePoolCollection.StoragePoolCollection,1
#TaskCollection.TaskCollection,1
#TaskService.v1_1_6.TaskService,1
#UpdateService.v1_8_3.UpdateService,1
#Volume.v1_6_1.Volume,2
#VolumeCollection.VolumeCollection,1
#Zone.v1_6_0.Zone,2
#ZoneCollection.ZoneCollection,1
